n,f,p
1,0.000000,0.000000
1,0.100000,0.100000
1,0.200000,0.200000
1,0.300000,0.300000
1,0.400000,0.400000
1,0.500000,0.500000
1,0.600000,0.600000
1,0.700000,0.700000
1,0.800000,0.800000
1,0.900000,0.900000
1,1.000000,1.000000
2,0.000000,0.000000
2,0.100000,0.010000
2,0.200000,0.040000
2,0.300000,0.090000
2,0.400000,0.160000
2,0.500000,0.250000
2,0.600000,0.360000
2,0.700000,0.490000
2,0.800000,0.640000
2,0.900000,0.810000
2,1.000000,1.000000
3,0.000000,0.000000
3,0.100000,0.001000
3,0.200000,0.008000
3,0.300000,0.027000
3,0.400000,0.064000
3,0.500000,0.125000
3,0.600000,0.216000
3,0.700000,0.343000
3,0.800000,0.512000
3,0.900000,0.729000
3,1.000000,1.000000
4,0.000000,0.000000
4,0.100000,0.000100
4,0.200000,0.001600
4,0.300000,0.008100
4,0.400000,0.025600
4,0.500000,0.062500
4,0.600000,0.129600
4,0.700000,0.240100
4,0.800000,0.409600
4,0.900000,0.656100
4,1.000000,1.000000
5,0.000000,0.000000
5,0.100000,0.000010
5,0.200000,0.000320
5,0.300000,0.002430
5,0.400000,0.010240
5,0.500000,0.031250
5,0.600000,0.077760
5,0.700000,0.168070
5,0.800000,0.327680
5,0.900000,0.590490
5,1.000000,1.000000
