n,f,p
1,0.000000,0.000000
1,0.100000,0.100000
1,0.200000,0.200000
1,0.300000,0.300000
1,0.400000,0.400000
1,0.500000,0.500000
1,0.600000,0.600000
1,0.700000,0.700000
1,0.800000,0.800000
1,0.900000,0.900000
1,1.000000,1.000000
2,0.000000,0.000000
2,0.100000,0.190000
2,0.200000,0.360000
2,0.300000,0.510000
2,0.400000,0.640000
2,0.500000,0.750000
2,0.600000,0.840000
2,0.700000,0.910000
2,0.800000,0.960000
2,0.900000,0.990000
2,1.000000,1.000000
3,0.000000,0.000000
3,0.100000,0.271000
3,0.200000,0.488000
3,0.300000,0.657000
3,0.400000,0.784000
3,0.500000,0.875000
3,0.600000,0.936000
3,0.700000,0.973000
3,0.800000,0.992000
3,0.900000,0.999000
3,1.000000,1.000000
4,0.000000,0.000000
4,0.100000,0.343900
4,0.200000,0.590400
4,0.300000,0.759900
4,0.400000,0.870400
4,0.500000,0.937500
4,0.600000,0.974400
4,0.700000,0.991900
4,0.800000,0.998400
4,0.900000,0.999900
4,1.000000,1.000000
5,0.000000,0.000000
5,0.100000,0.409510
5,0.200000,0.672320
5,0.300000,0.831930
5,0.400000,0.922240
5,0.500000,0.968750
5,0.600000,0.989760
5,0.700000,0.997570
5,0.800000,0.999680
5,0.900000,0.999990
5,1.000000,1.000000
